CCLE_feature_id	TCGA_feature_id	Uppsala_feature_ids	CCLE_RNASeq	svm	TCGA_gene_symbol
LHFPL2	LHFPL2|10184	ENSG00000145685	ENSG00000145685	LHFPL2	LHFPL2
NDRG1	NDRG1|10397	ENSG00000104419	ENSG00000104419	NDRG1	NDRG1
SEMA4B	SEMA4B|10509	ENSG00000185033	ENSG00000185033	SEMA4B	SEMA4B
EHD1	EHD1|10938	ENSG00000110047	ENSG00000110047	EHD1	EHD1
TMEM45B	TMEM45B|120224	ENSG00000151715	ENSG00000151715	TMEM45B	TMEM45B
KLF6	KLF6|1316	ENSG00000067082	ENSG00000067082	KLF6	KLF6
HBEGF	HBEGF|1839	ENSG00000113070	ENSG00000113070	HBEGF	HBEGF
DUSP1	DUSP1|1843	ENSG00000120129	ENSG00000120129	DUSP1	DUSP1
DUSP4	DUSP4|1846	ENSG00000120875	ENSG00000120875	DUSP4	DUSP4
DUSP5	DUSP5|1847	ENSG00000138166	ENSG00000138166	DUSP5	DUSP5
SERPINB1	SERPINB1|1992	ENSG00000021355	ENSG00000021355	SERPINB1	SERPINB1
EREG	EREG|2069	ENSG00000124882	ENSG00000124882	EREG	EREG
CLCF1	CLCF1|23529	ENSG00000175505	ENSG00000175505	CLCF1	CLCF1
FOS	FOS|2353	ENSG00000170345	ENSG00000170345	FOS	FOS
PPP1R15A	PPP1R15A|23645	ENSG00000087074	ENSG00000087074	PPP1R15A	PPP1R15A
SFN	SFN|2810	ENSG00000175793	ENSG00000175793	SFN	SFN
CXCL1	CXCL1|2919	ENSG00000163739	ENSG00000163739	CXCL1	CXCL1
CXCL2	CXCL2|2920	ENSG00000081041	ENSG00000081041	CXCL2	CXCL2
IL8	IL8|3576	ENSG00000169429	ENSG00000169429	IL8	IL8
ITGA2	ITGA2|3673	ENSG00000164171	ENSG00000164171	ITGA2	ITGA2
ITPR3	ITPR3|3710	ENSG00000096433	ENSG00000096433	ITPR3	ITPR3
MAST4	MAST4|375449	ENSG00000069020	ENSG00000069020	MAST4	MAST4
KCNK1	KCNK1|3775	ENSG00000135750	ENSG00000135750	KCNK1	KCNK1
KCNN4	KCNN4|3783	ENSG00000104783	ENSG00000104783	KCNN4	KCNN4
LDLR	LDLR|3949	ENSG00000130164	ENSG00000130164	LDLR	LDLR
LIF	LIF|3976	ENSG00000128342	ENSG00000128342	LIF	LIF
G0S2	G0S2|50486	ENSG00000123689	ENSG00000123689	G0S2	G0S2
TNFRSF12A	TNFRSF12A|51330	ENSG00000006327	ENSG00000006327	TNFRSF12A	TNFRSF12A
SERPINB5	SERPINB5|5268	ENSG00000206075	ENSG00000206075	SERPINB5	SERPINB5
PLAUR	PLAUR|5329	ENSG00000011422	ENSG00000011422	PLAUR	PLAUR
ARNTL2	ARNTL2|56938	ENSG00000029153	ENSG00000029153	ARNTL2	ARNTL2
S100A6	S100A6|6277	ENSG00000197956	ENSG00000197956	S100A6	S100A6
SDC1	SDC1|6382	ENSG00000115884	ENSG00000115884	SDC1	SDC1
SDC4	SDC4|6385	ENSG00000124145	ENSG00000124145	SDC4	SDC4
NFKBIZ	NFKBIZ|64332	ENSG00000144802	ENSG00000144802	NFKBIZ	NFKBIZ
CDCP1	CDCP1|64866	ENSG00000163814	ENSG00000163814	CDCP1	CDCP1
SLC2A3	SLC2A3|6515	ENSG00000059804	ENSG00000059804	SLC2A3	SLC2A3
UAP1	UAP1|6675	ENSG00000117143	ENSG00000117143	UAP1	UAP1
PHLDA2	PHLDA2|7262	ENSG00000181649	ENSG00000181649	PHLDA2	PHLDA2
ZFP36	ZFP36|7538	ENSG00000128016	ENSG00000128016	ZFP36	ZFP36
TFPI2	TFPI2|7980	ENSG00000105825	ENSG00000105825	TFPI2	TFPI2
CALU	CALU|813	ENSG00000128595	ENSG00000128595	CALU	CALU
SPRY4	SPRY4|81848	ENSG00000187678	ENSG00000187678	SPRY4	SPRY4
TNFRSF10B	TNFRSF10B|8795	ENSG00000120889	ENSG00000120889	TNFRSF10B	TNFRSF10B
TNFRSF10A	TNFRSF10A|8797	ENSG00000104689	ENSG00000104689	TNFRSF10A	TNFRSF10A
IER3	IER3|8870	ENSG00000137331	ENSG00000137331	IER3	IER3
SLC16A3	SLC16A3|9123	ENSG00000141526	ENSG00000141526	SLC16A3	SLC16A3
FOXQ1	FOXQ1|94234	ENSG00000164379	ENSG00000164379	FOXQ1	FOXQ1
GDF15	GDF15|9518	ENSG00000130513	ENSG00000130513	GDF15	GDF15
TOB1	TOB1|10140	ENSG00000141232	ENSG00000141232	TOB1	TOB1
EPHA2	EPHA2|1969	ENSG00000142627	ENSG00000142627	EPHA2	EPHA2
FLNB	FLNB|2317	ENSG00000136068	ENSG00000136068	FLNB	FLNB
HK2	HK2|3099	ENSG00000159399	ENSG00000159399	HK2	HK2
INPP1	INPP1|3628	ENSG00000151689	ENSG00000151689	INPP1	INPP1
JUNB	JUNB|3726	ENSG00000171223	ENSG00000171223	JUNB	JUNB
MCL1	MCL1|4170	ENSG00000143384	ENSG00000143384	MCL1	MCL1
MYD88	MYD88|4615	ENSG00000172936	ENSG00000172936	MYD88	MYD88
SMURF2	SMURF2|64750	ENSG00000108854	ENSG00000108854	SMURF2	SMURF2
RAPH1	RAPH1|65059	ENSG00000173166	ENSG00000173166	RAPH1	RAPH1
SMTN	SMTN|6525	ENSG00000183963	ENSG00000183963	SMTN	SMTN
SLC20A1	SLC20A1|6574	ENSG00000144136	ENSG00000144136	SLC20A1	SLC20A1
ULBP2	ULBP2|80328	ENSG00000131015	ENSG00000131015	ULBP2	ULBP2
PDLIM5	PDLIM5|10611	ENSG00000163110	ENSG00000163110	PDLIM5	PDLIM5
ANTXR2	ANTXR2|118429	ENSG00000163297	ENSG00000163297	ANTXR2	ANTXR2
C4orf32	C4orf32|132720	ENSG00000174749	ENSG00000174749	C4orf32	C4orf32
JAG1	JAG1|182	ENSG00000101384	ENSG00000101384	JAG1	JAG1
EFNB2	EFNB2|1948	ENSG00000125266	ENSG00000125266	EFNB2	EFNB2
ELL2	ELL2|22936	ENSG00000118985	ENSG00000118985	ELL2	ELL2
FOXC1	FOXC1|2296	ENSG00000054598	ENSG00000054598	FOXC1	FOXC1
PALLD	PALLD|23022	ENSG00000129116	ENSG00000129116	PALLD	PALLD
STEAP1	STEAP1|26872	ENSG00000164647	ENSG00000164647	STEAP1	STEAP1
HAS3	HAS3|3038	ENSG00000103044	ENSG00000103044	HAS3	HAS3
AQP3	AQP3|360	ENSG00000165272	ENSG00000165272	AQP3	AQP3
MBNL1	MBNL1|4154	ENSG00000152601	ENSG00000152601	MBNL1	MBNL1
C12orf35	C12orf35|55196	ENSG00000174718	ENSG00000174718	KIAA1551	C12orf35
PPP3CA	PPP3CA|5530	ENSG00000138814	ENSG00000138814	PPP3CA	PPP3CA
PRSS3	PRSS3|5646	ENSG00000010438	ENSG00000010438	PRSS3	PRSS3
STAMBPL1	STAMBPL1|57559	ENSG00000138134	ENSG00000138134	STAMBPL1	STAMBPL1
BMP2	BMP2|650	ENSG00000125845	ENSG00000125845	BMP2	BMP2
SSFA2	SSFA2|6744	ENSG00000138434	ENSG00000138434	SSFA2	SSFA2
TCF7L2	TCF7L2|6934	ENSG00000148737	ENSG00000148737	TCF7L2	TCF7L2
CAMK2D	CAMK2D|817	ENSG00000145349	ENSG00000145349	CAMK2D	CAMK2D
FAM107B	FAM107B|83641	ENSG00000065809	ENSG00000065809	FAM107B	FAM107B
PHLDB2	PHLDB2|90102	ENSG00000144824	ENSG00000144824	PHLDB2	PHLDB2
